"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"3023.74","(2)-","","636.95 5","M1","","0.0672","α=0.0672, α(K)=0.0549 8, α(L)=0.00941 14, α(M)=0.00221 3, α(N)=0.000569 8, α(O)=0.0001192 17, α(P)=1.543×10-5 22",
"3026.437","5-","","116.47 3","M1","","7.19","α=7.19, α(K)=5.83 9, α(L)=1.037 15, α(M)=0.245 4, α(N)=0.0630 9, α(O)=0.01318 19, α(P)=0.001703 24",
"5-","","622.83 23","E1","","0.00659","α=0.00659, α(K)=0.00545 8, α(L)=0.000877 13, α(M)=0.000205 3, α(N)=5.23×10-5 8, α(O)=1.084E-5 16, α(P)=1.360E-6 19",
"5-","","639.56 16","E2","","0.0183","α=0.0183, α(K)=0.01352 19, α(L)=0.00363 5, α(M)=0.000896 13, α(N)=0.000230 4, α(O)=4.65×10-5 7, α(P)=5.33E-6 8",
"5-","","643.8 2","E1","","0.00618","α=0.00618, α(K)=0.00511 8, α(L)=0.000820 12, α(M)=0.000191 3, α(N)=4.89×10-5 7, α(O)=1.013E-5 15, α(P)=1.274E-6 18",
"5-","","1599.70 2","E1","","1.44×10-3","α=1.44×10-3, α(K)=0.001007 14, α(L)=0.0001527 22, α(M)=3.53E-5 5, α(N)=9.05E-6 13, α(O)=1.89E-6 3, α(P)=2.44E-7 4",
"3075.08","(4)-","","1648.45 3","E1","","1.42×10-3","α=1.42×10-3, α(K)=0.000958 14, α(L)=0.0001451 21, α(M)=3.36E-5 5, α(N)=8.60E-6 12, α(O)=1.80E-6 3, α(P)=2.32E-7 4",
"3094.53","4+","","691.2 2","M1+E2","0.67 31","0.042","α=0.042 8, α(K)=0.034 7, α(L)=0.0061 9, α(M)=0.00145 21, α(N)=0.00037 6, α(O)=7.8×10-5 12, α(P)=9.9E-6 16",
"4+","","1913.10 21","E2","","0.00242","α=0.00242, α(K)=0.00180 3, α(L)=0.000302 5, α(M)=7.08×10-5 10, α(N)=1.82E-5 3, α(O)=3.79E-6 6, α(P)=4.83E-7 7",
"3111.646","4-","","201.60 3","M1","","1.520","α=1.520, α(K)=1.235 18, α(L)=0.217 3, α(M)=0.0513 8, α(N)=0.01320 19, α(O)=0.00276 4, α(P)=0.000357 5",
