"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0.0","1-","5.012 d 5 , % β- = 100, % α = 13.2×10-5 10","Q=+0.136 1, μ=-0.04451 6, %α: from 1962Ka27., E(level): %α: from 1962Ka27. Main configuration=((π 1h9/2)(ν 2g9/2)) (All configurations from (n,γ) - 1989Sh20).",
"46.5390","0-","< 3 ns","E(level): Main configuration=((π 1h9/2)(ν 2g9/2)) (All configurations from (n,γ) - 1989Sh20).",
"271.31","9-","3.04×10+6 y 6 , % α = 100","Q=-0.471 59, μ=2.728 42, %β-<3×10-5, %IT<3×10-5 (β- or IT decay not observed) (1976TuZY)., E(level): %β-<3×10-5, %IT<3×10-5 (β- or IT decay not observed) (1976TuZY). Main configuration=((π 1h9/2)(ν 2g9/2)) (All configurations from (n,γ) - 1989Sh20).",
"319.73","2-","5.2 ps 10","E(level): Main configuration=((π 1h9/2)(ν 2g9/2)) (All configurations from (n,γ) - 1989Sh20).",
"347.95","3-","","E(level): Main configuration=((π 1h9/2)(ν 2g9/2)) (All configurations from (n,γ) - 1989Sh20).",
"433.48","7-","57.5 ns 10","μ=+2.114 49, E(level): Main configuration=((π 1h9/2)(ν 2g9/2)) (All configurations from (n,γ) - 1989Sh20).",
"439.24","5-","38 ns 1","μ=+1.530 45, E(level): Main configuration=((π 1h9/2)(ν 2g9/2)) (All configurations from (n,γ) - 1989Sh20).",
"502.84","4-","< 1.4 ns","E(level): Main configuration=((π 1h9/2)(ν 2g9/2)) (All configurations from (n,γ) - 1989Sh20).",
"550.04","6-","< 1.4 ns","E(level): Main configuration=((π 1h9/2)(ν 2g9/2)) (All configurations from (n,γ) - 1989Sh20).",
"563.16","(1-)","","E(level): Main configuration=((π 1h9/2)(ν 1i11/2)).",
"582.54","8-","< 1.7 ps","E(level): Main configuration=((π 1h9/2)(ν 2g9/2)) (All configurations from (n,γ) - 1989Sh20).",
"669.0","10-","100 ps 18","E(level): Main configuration=((π 1h9/2)(ν 1i11/2)).",
"916.11","8-","","E(level): Main configuration=((π 2f7/2)(ν 2g9/2)).",
"971.92","(2-)","","E(level): Main configuration=((π 1h9/2)(ν 1i11/2)).",
"993.72","(3+)","","E(level): Main configuration=((π 1h9/2)(ν 1j15/2)).",
