"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"4221","(3-,4-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4225","(4+)","","XREF: n(4219)., E(level): From 208Pb(p,t).",
"4243","(7-,8-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4257","(5-,7-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4292","(3-)","","XREF: c(4294)., E(level): From 206Pb(p,p’).",
"4317","(2-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4320","4+","","E(level): From 20Pb(e,e’).",
"4340","(4+)","","XREF: n(4333).",
"4347","6+","","XREF: n(4357)a(4352).",
"4373","","","E(level): From 209Bi(pol p,α).",
"4385","(5-)","","XREF: n(4391)t(4370)c(4391).",
"4410","","","XREF: Q(4413).",
"4459","(5-)","","XREF: n(4456).",
"4474","(5-)","","XREF: U(4470)., E(level): From 206Pb(p,p’).",
"4496","(4-,5-,6)","","XREF: t(4500)c(4494)., E(level): From 206Pb(p,p’).",
"4534","5-","","E(level): From 206Pb(p,p’).",
"4556","9-","","E(level): From 208Pb(p,t).",
"4563","(3-,4-)","","E(level): From 205Tl(3He,d).",
"4580","(7-,8+)","","XREF: X(4584)., E(level): From 206Pb(p,p’).",
"4595","","","E(level): From 206Pb(p,p’).",
"4614","(3-)","","XREF: t(4620)., E(level): From 206Pb(p,p’).",
"4626","(1,2,3)+","","E(level): From 205Tl(3He,d).",
"4648","","","XREF: a(4634).",
"4664","5-","","E(level): From 206Pb(p,p’).",
"4673","(8-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"4675","(2+,3+)","","XREF: c(4680).",
"4687","(2-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4697","(3-,4-)","","XREF: c(4695).",
"4717","4+,5","","XREF: n(4710).",
"4728","(9-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4742","","","XREF: X(4748)a(4739)c(4746)., E(level): From 206Pb(p,p’).",
"4763","","","XREF: n(4770).",
"4778.7","1","1.3 fs 9","BE1=0.000071 48, XREF: I(4782).",
"4793","5-","","E(level): From 206Pb(p,p’).",
"4809","(5-,6+)","","XREF: t(4806)a(4805)d(4800)., E(level): From 206Pb(p,p’).",
"4818","(10+)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4828","(7-)","","E(level): From 206Pb(p,p’).",
"4833","(5-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4848","1,2","","XREF: t(4850).",
"4860","(6+)","","E(level): From 206Pb(p,p’).",
"4862","(3-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4878","(6-)","","XREF: n(4873)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4889","(3-)","","E(level): From 206Pb(p,p’).",
"4901","(7-)","","E(level): From 206Pb(p,p’).",
"4912","(4+)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4914","(3-)","","XREF: n(4916).",
"4925","(5+)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4939","(6+,7+)","","XREF: X(4941)., E(level): From 206Pb(p,p’).",
"4966","(3-)","","XREF: n(4960).",
"4979","","","E(level): From 209Bi(pol p,α).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"4986","(3-)","","E(level): From 206Pb(p,p’).",
"5007","(4+)","","E(level): From 206Pb(p,p’).",
"5011","(9+)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"5025","","","E(level): From 206Pb(p,p’).",
"5038.57","1-","0.187 fs 21","BE1=0.00051 5, XREF: n(5045).",
"5040","10+","","E(level): From 20Pb(e,e’).",
"5069","","","XREF: t(5050)., E(level): From 206Pb(p,p’).",
"5078","(3+)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"5100","(7-)","","E(level): From 208Pb(p,t).",
"5111","(4+)","","E(level): From 206Pb(p,p’).",
"5112","(6+)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"5126","","≤ 21 fs","B(E2)=0.0038 7, XREF: M(5124)., E(level): From 206Pb(p,p’).",
"5138","(8+)","","XREF: X(5149)., E(level): From 206Pb(p,p’).",
"5169","","","XREF: t(5164)., E(level): From 206Pb(p,p’).",
"5195","(3+)","","XREF: n(5190).",
"5209","","","XREF: t(5200)., E(level): From 206Pb(p,p’).",
"5236.1","","","XREF: n(5227).",
"5296","(3-,2+)","","XREF: M(5288)a(5286)., E(level): From 206Pb(p,p’).",
"5315","(2+)","≤ 14 fs","B(E2)=0.0048 8, XREF: M(5309)n(5309)t(5325)X(5317)Y(5317)a(5326).",
"5332","(3-)","","XREF: X(5333)., E(level): From 206Pb(p,p’).",
"5365","(6+)","","XREF: U(5360)., E(level): From 206Pb(p,p’).",
"5378.2","1","1.65 fs 22","BE1=0.000051 7, XREF: Y(5383)a(5374).",
"5408.5","(1)","5.3 fs 12","BE1=0.000016 3, XREF: n(5403).",
"5411","11-","","XREF: U(5410)., E(level): From 208Pb(p,t).",
"5415","(4+)","","XREF: n(5422)t(5420).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"5435","(3-)","","XREF: M(5448)n(5435)a(5444)., E(level): From 206Pb(p,p’).",
"5459.2","(1,2+)","1.37 fs 27","BE1=0.000030 7, XREF: n(5452).",
"5463","(3-)","","E(level): From 206Pb(p,p’).",
"5485","(4+)","","E(level): From 206Pb(p,p’).",
"5493","2+","≤ 15 fs","B(E2)=0.0038 7, E(level): From 20Pb(e,e’).",
"5513","","","XREF: n(5507)t(5500).",
"5525.2","1","1.14 fs 14","BE1=0.000068 8, XREF: I(5522).",
"5533","(4+)","","E(level): From 206Pb(p,p’).",
"5544","1-","","XREF: a(5540)., E(level): From 206Pb(p,p’).",
"5561","(4+)","","XREF: Y(5555)., E(level): From 206Pb(p,p’).",
"5588","(5-)","","E(level): From 206Pb(p,p’).",
"5602","(2+)","","XREF: n(5599).",
"5610","(9-)","","E(level): From 208Pb(p,t).",
"5637","0+","","E(level): From 204Pb(t,p).",
"5640","(3-)","","E(level): From 206Pb(p,p’).",
"5653","","","XREF: t(5650)., E(level): From 206Pb(p,p’).",
"5660","(9-)","","E(level): From 208Pb(p,t).",
"5676","(2+)","","XREF: M(5682)., E(level): From 206Pb(p,p’).",
"5687","(4+)","","E(level): From 206Pb(p,p’).",
"5694.2","1-","0.48 fs 7","BE1=0.000148 22, XREF: M(5692).",
"5702","(5-)","","E(level): From 206Pb(p,p’).",
"5715","(2+)","","E(level): From 206Pb(p,p’).",
"5741","","","XREF: n(5747).",
"5762.7","1-","0.67 fs 8","BE1=0.000102 13, XREF: n(5763).",
"5775","(1-)","","XREF: a(5782).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"5779","(5-)","","E(level): From 206Pb(p,p’).",
"5796","(4,5)","","E(level): From 206Pb(p,p’).",
"5800","(8+)","","E(level): From 208Pb(p,t).",
"5819.2","1-","1.80 fs 28","BE1=0.000037 6, XREF: n(5823).",
"5846.6","1-","0.40 fs 7","BE1=0.000164 29, XREF: I(5840).",
"5885","","","XREF: a(5894)., E(level): From 206Pb(p,p’).",
"5903.7","1-","0.132 fs 21","BE1=0.00049 6, XREF: t(5900).",
"5911","(4+)","","E(level): From 206Pb(p,p’).",
"5940","","","XREF: n(5949)a(5944).",
"5974","2","","XREF: M(5969)., E(level): From 206Pb(p,p’).",
"5994","","","XREF: n(5990).",
"6021.6","1","0.69 fs 10","BE1=0.000086 12, XREF: n(6023).",
"6040","3-","","XREF: a(6045)., E(level): From 206Pb(p,p’).",
"6065","","","E(level): From 206Pb(p,p’).",
"6071","","","E(level): From 206Pb(p,p’).",
"6083","","","E(level): From 206Pb(p,p’).",
"6100.3","2+","1.4 fs 3","B(E2)=0.0185, XREF: M(6103).",
"6110.8","2+","0.46 fs 17","XREF: n(6117)a(6128).",
"6146","","","E(level): From 206Pb(p,p’).",
"6154","","","E(level): From 206Pb(p,p’).",
"6167","","","E(level): From 206Pb(p,p’).",
"6167","8+","","XREF: U(6180)., E(level): From 208Pb(p,t).",
"6181","2+","","B(E2)=0.0144 7, XREF: M(6187)a(6176)., E(level): From 206Pb(p,p’).",
"6198","(6+)","","E(level): From 206Pb(p,p’).",
"6220","(1+)","","B(M1)=0.52 8 from (γ,γ’) in 1993Al13.",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"6236","","","XREF: n(6229).",
"6260","","","XREF: n(6264).",
"6284","","","E(level): From 206Pb(p,p’).",
"6302","","","E(level): From 206Pb(p,p’).",
"6314","(2+,3-)","","XREF: M(6318)., E(level): From 206Pb(p,p’).",
"6332","","","E(level): From 206Pb(p,p’).",
"6346","2+","","B(E2)=0.0046 6, E(level): From 206Pb(p,p’).",
"6408","8+","","XREF: a(6416)., E(level): From 206Pb(p,p’).",
"6418.8","1,2+","1.14 fs 29","BE1=0.000043 11, B(E2)=0.0038 6, XREF: M(6423).",
"6442.5","(1)","2.1 fs 9","BE1=0.000024 10, XREF: n(6444).",
"6469.3","1","0.7 fs 6","BE1=0.00006 5, XREF: n(6459).",
"6480","(6+)","","XREF: a(6472)., E(level): From 206Pb(p,p’).",
"6496","","","XREF: a(6502)., E(level): From 206Pb(p,p’).",
"6524","6+","","E(level): From 206Pb(p,p’).",
"6545","2-","","BM2=2.92 27, XREF: M(6541)., E(level): From 206Pb(p,p’).",
"6573","6+","","XREF: t(6560)a(6568)., E(level): From 206Pb(p,p’).",
"6593","","","E(level): From 206Pb(p,p’).",
"6617","","","E(level): From 206Pb(p,p’).",
"6634","(8+)","","XREF: a(6626)., E(level): From 206Pb(p,p’).",
"6655","","","E(level): From 206Pb(p,p’).",
"6689","8+","","E(level): From 206Pb(p,p’).",
"6692","6+","","XREF: a(6716).",
"6761","","","E(level): From 206Pb(p,p’).",
"6806","","","E(level): From 206Pb(p,p’).",
"6830","","","E(level): From 208Pb(p,t).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"7350","GE 9","","XREF: Y(7370).",
"7503.3","(1)","","XREF: t(7500).",
"7758","(4+)","","XREF: t(7750)., E(level): From 204Pb(t,p).",
"7815.2","","","XREF: a(7830).",
"7975.7","1","","XREF: a(7983).",
"8199","","","E(level): From 204Pb(t,p).",
"8226","","","E(level): From 204Pb(t,p).",
"8300","","","E(level): From 207Pb(p,d).",
"8800","","","E(level): From 207Pb(p,d).",
"9150","","","E(level): From 207Pb(p,d).",

"E(level)","E(gamma)","Comments",
"803.054","803.06","E(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal., I(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal., M(γ): α(K)exp=0.00808 7, α(L)exp=0.00161 16 and α(M)exp=0.00062 15 (1977Dr08); α(K)exp=0.0081 14 (1999Oh02)",
"1166.4","363.3","E(γ): From level energy differences, I(γ): From 206Tl β- decay",
"1166.4","E(γ): From ce measurements in (α,2n) (1977Dr08)., M(γ): α(K)exp=0.00808 7, α(L)exp=0.00161 16 and α(M)exp=0.00062 15 (1977Dr08) in (α,2n); ce(K)/ce(L)=5.61 38 (1990Tr01) in 206Pb(p,p’γ)",
"1340.49","537.47","E(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal., I(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal.",
"1466.81","126.42","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"663.75","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"1466.78","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"1683.99","343.51","E(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal., I(γ): Note that Iγ=42.2 17 in (n,n’γ). Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal., M(γ): α(K)exp=0.23 3, α(L)exp=0.033 4 and α(M)exp=0.0091 14 (1977Dr08)",
"880.98","E(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal., I(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal., M(γ): α(K)exp=0.00713 7, α(L)exp=0.00127 8 (1977Dr08)",
"1704.45","1704.45","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"1784.09","317.52","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"617.6","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"980.99","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"1997.67","313.66","E(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal., I(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal.",
"657.18","E(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal., I(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal.",
"1194.68","E(γ): Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal., I(γ): From 206Bi ε decay; Iγ=9.8 23 from (n,n’γ). Weighted average (limitation of relative statistical weights method) from 206Bi ε decay and 205Pb(n,γ), E=thermal.",
"2148.97","682.29","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"808.58","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"1345.88","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"2196.7","856.6","E(γ): From 205Pb(n,γ), E=thermal.",
"1393.8","E(γ): From 205Pb(n,γ), E=thermal.",
"2200.16","516.18","M(γ): α(K)exp=0.0516 5, α(L)exp=0.031 3 and α(M)exp=0.0084 14 (1977Dr08)",
"2236.53","1433.47","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"2423.36","639.0","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"718.92","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"956.56","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"1082.7","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"1620.30","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"E(level)","E(gamma)","Comments",
"2658.32","458.1","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"2782.17","581.97","M(γ): Note, that original assignment allowed E3, but placement excludes it.",
"2929.09","1588.59","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal., M(γ): From 204Hg(α,2nγ).",
"2954.5","296.2","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"754.4","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"3122.38","1655.5","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"2319.32","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"3194.3","2391.0","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"3194.6","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"3225.40","841.28","M(γ): Original assignment allowed E3, but placement excluded it.",
"3244.24","1047.6","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"3260.4","1576.4","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"3402.65","2599.6","M(γ): Measured M1,E3, but the level scheme requires E3.",
"3453.4","2650.3","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"3484.8","1699.5","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"2682.0","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"3516","2713","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"3562.87","1565.34","I(γ): 42 14 in (n,n’γ)",
"3606.2","957.5","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"1822.1","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"3682.9","1899.6","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"2880","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"3743.7","2041","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"2941","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"3743.7","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"E(level)","E(gamma)","Comments",
"3776.1","515.7","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"1778.4","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ)., M(γ): From 204Hg(α,2nγ), incorrectly given as M1.",
"2092.1","I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.",
"3778.5","1995.5","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"2314","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"2977","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"3943.7","1520.0","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"2605","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"3141","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"3957.6","1299.1","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"1757.7","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"3963","3963","E(γ): Note, 3963γ to 0+ would imply M4 multipolarity. From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"3971","3168","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"3971","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"3989","2305","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"3186","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"3997","3997","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4000.7","1764.2","E(γ): From 205Pb(n,γ), E=thermal., I(γ): From 205Pb(n,γ), E=thermal.",
"4005.3","1075.9","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"2008.0","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4010","3207","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4027.3","69.7","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): ce(L)/ce(M) exp=3.5 7 (1977Dr08).. From 204Hg(α,2nγ).",
"1369.0","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): α(K)exp=0.0055 11, α(L)exp=0.0013 3 and α(M)exp=0.00050 9 (1977Dr08). From 204Hg(α,2nγ).",
"4045","3242","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4051","4051","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"E(level)","E(gamma)","Comments",
"4066","3263","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4076","3273","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4116.7","995.1","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"2775.0","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"4116.7","E(γ): 4115.9 keV 6 in 205Pb(n,γ), E=thermal; 4116.0 7 in (γ,γ’). From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4145.9","4145.9","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"4187","2503","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4212","4212","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4238.3","1854.1","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4328.6","2627","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4328.6","E(γ): 4330.7 19 in (n,n’γ). From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"4340","4340","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4347","3544","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4385","2701","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4410","2627","E(γ): Multiply placed with intensity suitably divided. From 206Pb(n,n’γ)., I(γ): Multiply placed with intensity suitably divided. From 206Pb(n,n’γ).",
"3607","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"4420","2717","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"3079","E(γ): Multiply placed with intensity suitably divided. From 206Pb(n,n’γ)., I(γ): Multiply placed with intensity suitably divided. From 206Pb(n,n’γ).",
"4420","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4427","3624","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4433.4","1239.0","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"3631","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4434","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4459","3656","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4469.3","2235","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"4469.2","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"E(level)","E(gamma)","Comments",
"4483.6","4483.5","E(γ): 4482.9 19 from (n,n’γ). From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"4512","3709","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4525","3722","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4604.7","3141","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"4604.6","E(γ): 4606 4 in (n,n’γ), I(γ): From (n,n’γ)",
"4648","3307","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"4648","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4657","2460","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"3854","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"4675","3872","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4691.5","4691.4","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"4697","2385","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"3894","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4717","4717","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4730","2495","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"2583","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"3927","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ) study (1982DiZT). Value is from a broad peak or may contain contribution from another reaction.. From 206Pb(n,n’γ).",
"4756","3953","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4758.5","2100.2","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"4763","4763","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4778.7","3079","E(γ): From (n,n’γ). Multiply placed with intensity suitably divided, I(γ): Multiply placed with intensity suitably divided",
"3975.6","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
